cand_id,state_abb,district_number,election_year,republican,contestant_id,ideology_score,primary_vote
cand_115,CA,33,1982,1,contestant_1,0.11340045183897018,0.5733657479286194
cand_116,CA,33,1982,1,contestant_2,0.13880017399787903,0.4266342520713806
cand_117,CA,34,1982,0,contestant_1,-0.15988686680793762,0.5074335336685181
cand_118,CA,34,1982,0,contestant_2,-0.0240461528301239,0.36453118920326233
cand_119,CA,34,1998,0,contestant_1,-0.1610000878572464,0.5051802396774292
cand_120,CA,34,1998,0,contestant_2,-0.2704458236694336,0.4948197901248932
cand_121,CA,38,1984,1,contestant_1,0.3271566927433014,0.622500479221344
cand_122,CA,38,1984,1,contestant_2,-0.11410602927207947,0.04296523332595825
cand_123,CA,38,1986,0,contestant_1,-0.2562917470932007,0.6658035516738892
cand_124,CA,38,1986,0,contestant_2,-0.3036038875579834,0.3341964781284332
cand_125,CA,38,1992,1,contestant_1,0.1615283042192459,0.297634094953537
cand_126,CA,38,1992,1,contestant_2,0.22854620218276978,0.29530587792396545
cand_127,CA,38,1996,0,contestant_1,-0.33788245916366577,0.5139337182044983
cand_128,CA,38,1996,0,contestant_2,-0.2565353214740753,0.4860663115978241
cand_129,CA,39,2002,0,contestant_1,-0.17836987972259521,0.33465492725372314
cand_130,CA,39,2002,0,contestant_2,-0.31585660576820374,0.19275802373886108
cand_131,CA,40,1988,1,contestant_1,0.13761049509048462,0.30750516057014465
cand_132,CA,40,1988,1,contestant_2,0.17520925402641296,0.29361820220947266
cand_133,CA,41,1992,1,contestant_1,0.10227876156568527,0.30065521597862244
cand_134,CA,41,1992,1,contestant_2,0.11391142010688782,0.2807072699069977
cand_135,CA,41,1998,1,contestant_1,0.1295776665210724,0.48488849401474
cand_136,CA,41,1998,1,contestant_2,0.10227876156568527,0.25636202096939087
cand_137,CA,42,1988,1,contestant_1,0.20474393665790558,0.3507651090621948
cand_138,CA,42,1988,1,contestant_2,-0.043626561760902405,0.21841366589069366
cand_139,CA,42,1992,1,contestant_1,0.3384508192539215,0.3727990984916687
cand_140,CA,42,1992,1,contestant_2,0.22971074283123016,0.2917587161064148
cand_141,CA,43,1982,1,contestant_1,0.3343311846256256,0.16574525833129883
cand_142,CA,43,1982,1,contestant_2,0.0899876207113266,0.16463716328144073
cand_143,CA,44,1994,1,contestant_1,0.11130687594413757,0.48627740144729614
cand_144,CA,44,1994,1,contestant_2,0.08964404463768005,0.2817719280719757
cand_145,CA,45,1992,1,contestant_1,0.20474393665790558,0.4789729416370392
cand_146,CA,45,1992,1,contestant_2,-0.050780877470970154,0.2436668872833252
cand_147,CA,46,1996,0,contestant_1,-0.18338531255722046,0.34671586751937866
cand_148,CA,46,1996,0,contestant_2,-0.32920897006988525,0.29734453558921814
cand_149,CA,48,2000,1,contestant_1,0.10775718092918396,0.45467787981033325
cand_150,CA,48,2000,1,contestant_2,0.12670275568962097,0.3035773038864136
